game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_substitutions,source_match_id
Kayserispor vs. Sivasspor - Sunday October 15 - 2006,Kayserispor,hard,4-4-2,IVANKOV;TOLEDO;MENDEZ;TOSCALI;CORA;CEYLAN;BASDAG;BOLUKBASI;TOPUZ;AKAGUNDUZ;UNAL,27;12;32;25;18;81;8;3;66;11;9,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;1,1;1;1;1;0;1;0;0;0;0;1,0;0;0;0;0;0;0;1;1;1;0,61779
Kayserispor vs. Sivasspor - Sunday October 15 - 2006,Sivasspor,hard,4-4-2,PETKOVIC;SOZGELMEZ;HOCAOGLU;CETIN;CAN;UMMAK;ELMACI;FRANSERGIO;KUS;WOOTER;BALILI,1;55;4;76;40;33;42;30;54;10;17,0;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;1;1;0;1;0;0;0,0;0;0;0;0;0;0;1;1;1;0,61779
Manisaspor vs. Antalyaspor - Sunday October 15 - 2006,Antalyaspor,hard,4-4-2,AVCIBAY;CAN;BIENIUK;DZIEWICKI;KAVUK;YAMAN;SUAZO;BILGIN;IDRIS HACIFAZLIOGLU;BIRDAL;GULLERI,22;13;7;5;67;74;12;17;20;9;11,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;1;1,61782
Manisaspor vs. Antalyaspor - Sunday October 15 - 2006,Manisaspor,hard,4-2-3-1,ATAMAN;ERKIN;BOZKURT;BORBICONI;OZSARAC;INCEMAN;INAN;OZTURK;ZELENKA;AKAN;MARQUES,99;8;4;5;3;10;18;21;77;7;11,0;1;0;0;0;0;0;0;0;0;1,0;1;0;0;0;0;0;0;0;0;0,0;1;0;0;0;1;0;0;1;0;0,0;0;0;0;0;0;0;0;1;1;0,61782
Genclerbirligi vs. Trabzonspor - Friday October 20 - 2006,Genclerbirligi,hard,4-4-2,OZTURK;AYDIN;RISP;TRAORE;OZBEY;HAMINU;NAS;ABDELAZIZ;PROMISE;CAKIR;OZTURK,1;34;3;5;6;23;7;12;14;10;9,0;0;0;0;0;0;1;0;1;0;1,0;0;0;0;0;0;1;0;1;1;0,0;0;0;1;0;1;0;0;1;0;0,0;0;0;0;1;1;0;0;1;0;0,61797
Sivasspor vs. Manisaspor - Friday October 20 - 2006,Manisaspor,hard,4-2-3-1,ATAMAN;OZSARAC;BOZKURT;BORBICONI;JOHANA;INCEMAN;INAN;ERKIN;ZELENKA;HOLOSKO;MARQUES,99;3;4;5;19;10;18;8;77;14;11,0;0;1;0;1;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;1;0;0;1;0,0;0;1;0;0;0;0;0;0;1;0,61800
Sivasspor vs. Manisaspor - Friday October 20 - 2006,Sivasspor,hard,4-4-2,PETKOVIC;SOZGELMEZ;HOCAOGLU;CETIN;CAN;UMMAK;ELMACI;FRANSERGIO;KUS;WOOTER;BALILI,1;55;4;76;40;33;42;30;54;10;17,0;0;0;0;0;0;0;0;0;1;1,0;0;0;0;0;0;0;0;0;2;0,1;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;1;0;0,61800
Bursaspor vs. Ankaraspor - Saturday October 21 - 2006,Ankaraspor,hard,4-4-2,ARIKAN;WEDERSON;PETROUS;DUYMUS;YOLDAS;TOSUN;ARSLAN;KISA;AYHAN;YILMAZ;JABA,84;6;2;49;4;26;57;19;72;61;10,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;0;1,0;0;0;0;0;1;0;1;1;0;0,61794
Bursaspor vs. Ankaraspor - Saturday October 21 - 2006,Bursaspor,hard,4-4-2,CATKIC;BEKIROGLU;KORKMAZ;GULDUREN;YIGIT;PANCU;SUMULIKOSKI;FRASINEANU;ACAR;AKDIS;BIRYOL,1;47;16;3;22;19;18;10;8;54;15,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;0;2;0;0;0,0;0;0;0;0;0;0;0;1;1;1,61794
Kayseri Erciyesspor vs. Galatasaray - Saturday October 21 - 2006,Kayseri Erciyesspor,hard,4-5-1,FADHEL;OZKAYNAK;AYHAN;BOUAZIZI;KOK;BAYAZIT;DIE;TORAMAN;SARP;LAZAROV;ISLER,1;39;2;13;19;10;6;5;15;11;21,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;1;1;1;0;0;0,0;0;1;0;1;0;1;0;0;0;0,61795
Sakaryaspor vs. Denizlispor - Saturday October 21 - 2006,Denizlispor,hard,4-2-3-1,KUCUK;JULIO CESAR;GURACAR;KRATOCHVIL;CAGIRAN;ERTUGRUL;GULPINAR;ABRAHAM;SIMSEK;CAMBALHOTA;KARTAL,1;6;22;7;5;20;60;4;9;19;30,0;0;0;2;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;1;0;1;0;0;0,0;1;0;0;0;1;0;0;0;0;1,61799
Sakaryaspor vs. Denizlispor - Saturday October 21 - 2006,Sakaryaspor,hard,4-4-2,MARTINEZ;TEBER;BAHADIR;YAVUZ;DUMAN;AYDIN;CAPURRO;ERDOGAN;MBAYO;KELES;CANGELE,55;15;25;38;51;7;22;33;10;71;9,0;0;0;0;0;0;0;1;0;0;0,0;1;0;0;0;0;0;0;0;0;0,0;1;0;1;1;0;0;1;0;1;0,0;1;0;0;0;0;0;0;0;0;1,61799
