game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_substitutions,source_match_id
Manisaspor vs. Genclerbirligi - Sunday October 23 - 2005,Manisaspor,hard,4-4-2,ATAMAN;BALTA;D'HAENE;JOHANA;AZER;ERKIN;VURUR;INCEMAN;DEMIRAY;AKDEMIR;YAVAS,61;16;24;19;81;88;4;10;11;9;20,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;2;0;0;0;0,0;0;0;0;1;0;0;1;0;0;1,37407
Sivasspor vs. Diyarbakirspor - Sunday October 23 - 2005,Diyarbakirspor,hard,4-4-2,YIGITER;DEMIRCIOGLU;DOGANTEZ;SEDLOSKI;AKINCI;KAHRAMAN;BOZACI;JUPI;ASLAN;OZER;YANIK,21;61;14;4;77;10;53;8;18;9;13,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;0;1,0;0;0;0;0;0;1;0;1;0;1,37405
Sivasspor vs. Diyarbakirspor - Sunday October 23 - 2005,Sivasspor,hard,4-4-2,PETKOVIC;YERLIKAYA;HOCAOGLU;BAYRAKTAR;DUMAN;KARACA;MOHAMED ALI;FRANSERGIO;KUS;AYDEMIR;ANDERSON,1;58;4;6;51;20;10;30;36;22;7,0;1;0;0;0;0;2;0;0;0;1,0;1;0;0;0;1;1;0;1;0;0,0;0;1;0;0;1;0;0;0;0;0,0;0;0;0;0;1;0;0;0;1;1,37405
Denizlispor vs. Trabzonspor - Friday October 28 - 2005,Denizlispor,hard,4-2-3-1,HAMIDOU;KECELI;KRATOCHVIL;ABRAHAM;OZSARAC;GULPINAR;EGEDIK;SIMSEK;RIZA;MULTAHARJU;KARTAL,16;11;7;4;3;6;8;5;10;22;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;1;0;1,0;0;0;1;0;0;1;0;1;0;0,37410
Denizlispor vs. Trabzonspor - Friday October 28 - 2005,Trabzonspor,easy,4-2-3-1,JEFFERSON;KOCAK;ELLER;DUYMUS;EREN;CIMSIR;CORA;LEE;KOCAK;YATTARA;YILMAZ,1;99;4;49;34;5;18;19;66;11;10,0;0;0;1;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1;0,1;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;1;0;1;0,37410
Ankaraspor vs. Malatyaspor - Saturday October 29 - 2005,Ankaraspor,hard,4-2-3-1,JEVRIC;YILDIRIM;BATAK;BAHADIR;YIGIT;MOLNAR;GUCER;TITA;OZGUR;BUYUK;JABA,1;4;3;15;22;77;50;11;7;6;20,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;1;0;0;0,0;0;0;1;0;1;1;0;0;0;1,0;1;0;0;0;0;0;0;0;1;1,37408
Ankaraspor vs. Malatyaspor - Saturday October 29 - 2005,Malatyaspor,hard,4-5-1,TUNCAY;CRIS;KORKMAZ;HOMOLA;ASLANTAS;KISA;AKIN;TOTH;JOHANSSON;OZKAN;EFFA-OWONA,48;4;44;33;61;19;6;26;24;11;5,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;2;0;0;0;0;0;0;0;0;1,0;0;0;0;1;1;0;0;0;1;0,37408
Fenerbahce vs. Gaziantepspor - Saturday October 29 - 2005,Fenerbahce,easy,4-4-2,DEMIREL;OZAT;LUCIANO;TURACI;BALCI;SANLI;APPIAH;ALEX;YOZGATLI;ANELKA;NOBRE,1;5;2;19;30;10;4;20;7;39;11,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;1;1;0;1;0;0,0;0;0;0;1;1;0;0;0;0;0,37412
Fenerbahce vs. Gaziantepspor - Saturday October 29 - 2005,Gaziantepspor,hard,3-4-1-2,HASAGIC;IRTEGUN;GURACAR;COGUM;BAYAR;AGCAY;YILDIRIM;DAG;GUNES;IVANOV;LAZAROV,1;4;99;6;26;7;36;23;15;69;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;1;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;1;0;0;0,37412
Besiktas vs. Ankaragucu - Sunday October 30 - 2005,Ankaragucu,hard,4-4-2,USAK;ZENGUE;KUTLU;BAYRAK;GUNEY;BATISTA;CORIDON;KARADUMAN;EVREN;MANSIZ;BULUT,34;20;4;3;12;6;32;38;14;26;10,0;0;0;0;0;0;0;0;0;1;1,0;0;0;0;1;0;0;0;0;0;0,0;0;0;1;1;0;0;0;0;0;1,0;1;0;0;1;0;0;1;0;0;0,37409
