game,team,difficulty,formation,lineup
Trabzonspor vs. Ankaragucu - Friday October 14 - 2011,Ankaragucu,hard,4-5-1,ONGUN;RAJNOCH;BAHTIYAROGLU;TOSCALI;UCAR;CEK;WEEKS;KAGAN SOYLEMEZGILLER;GUCER;TISDELL;SAHIN
Trabzonspor vs. Ankaragucu - Friday October 14 - 2011,Trabzonspor,easy,4-4-2,ZENGIN;CELUSTKA;KACAR;YUMLU;BALCI;COLMAN;ZOKORA;MIERZEJEWSKI;SEN;YILMAZ;BROZEK
Besiktas vs. Kayserispor - Saturday October 15 - 2011,Besiktas,easy,4-3-3,RECBER;DAG;KORKMAZ;SIDNEI;TORAMAN;FERNANDES;MEHMET AURELIO;GUTI;QUARESMA;EDU;SIMAO
Besiktas vs. Kayserispor - Saturday October 15 - 2011,Kayserispor,hard,4-3-3,DEGIRMENCI;KALDIRIM;GUNGOR;ZURAB KHIZANISHVILI;PEKARIK;RIVEROS;OZCAL;SANTANA;AMRABAT;UNAL;TROISI
Orduspor vs. Eskisehirspor - Saturday October 15 - 2011,Eskisehirspor,hard,4-4-2,IVESA;DEDE;DIEGO ANGELO;COSKUN;ARSLAN;TELLO;SARI;POTUK;ZENGIN;KARADENIZ;KAMARA
Orduspor vs. Eskisehirspor - Saturday October 15 - 2011,Orduspor,hard,4-3-3,FORNEZZI;OZKAN;AYHAN;BAYRAK;GARCIA;TUNCER;CULIO;CAMDALI;STANCU;TEKKE;DALMAT
Sivasspor vs. Gaziantepspor - Saturday October 15 - 2011,Gaziantepspor,hard,4-2-3-1,KARCEMARSKAS;CAN;GUNGOR;NOUNKEU;SUME;HAS;KURTULUS;POPOV;WAGNER;SOSA;DJAKO
Sivasspor vs. Gaziantepspor - Saturday October 15 - 2011,Sivasspor,hard,4-4-2,KOCA;YERLIKAYA;FATY;NAVRATIL;KAVUK;KILIC;NAS;BEKMEZCI;GROSICKI;RASMUSSEN;PEDRIEL
Galatasaray vs. Bursaspor - Sunday October 16 - 2011,Bursaspor,hard,4-2-3-1,CARSON;WEDERSON;AZIZ;STEPANOV;CHRETIEN;KOCAK;N'DIAYE;IPEK;BATALLA;BAHADIR;SESTAK
Galatasaray vs. Bursaspor - Sunday October 16 - 2011,Galatasaray,easy,4-1-4-1,MUSLERA;BALTA;UJFALUSI;ZAN;SARIOGLU;FELIPE MELO;RIERA;INAN;BAYTAR;KAZIM-RICHARDS;ELMANDER
